State_FIPS_Code,County_FIPS_Code,County_Name,State_Name,State_Abbr,Lat,Long,Population_Size,Population_Density,PopInPoverty,PercentPopInPoverty,White_Pop,PercentWhitePop,Black_Pop,PercentBlackPop,Native_American_Pop,PercentNative_AmericanPop,AsianPop,PercentAsianPop,HispanicPop,PercentHispanicPop,ObesityPop,PercentObesityPop
05,105,Perry,Arkansas,AR,35.0444,-92.6189,11371,16,3252.106,0.286,3411.3,0.3,7914.216,0.696,11.371,0.001,11.371,0.001,102.339,0.009,3206.622,0.282
05,107,Phillips,Arkansas,AR,34.5982,-90.5918,24107,35,6846.388,0.284,8991.911,0.373,14801.698,0.614,48.214,0.002,120.535,0.005,361.605,0.015,6966.923,0.289
05,109,Pike,Arkansas,AR,34.3278,-93.4226,29639,44,6016.717,0.203,17842.678,0.602,10907.152,0.368,177.834,0.006,296.39,0.01,474.224,0.016,6965.165,0.235
05,111,Poinsett,Arkansas,AR,35.6763,-90.3051,25349,33,5196.545,0.205,23270.382,0.918,1875.826,0.074,50.698,0.002,50.698,0.002,456.282,0.018,7528.653,0.297
05,113,Polk,Arkansas,AR,34.581,-93.9699,20176,23,3853.616,0.191,19469.84,0.965,60.528,0.003,302.64,0.015,60.528,0.003,766.688,0.038,5003.648,0.248
05,115,Pope,Arkansas,AR,35.6509,-92.8743,56580,70,9335.7,0.165,53411.52,0.944,1697.4,0.03,339.48,0.006,452.64,0.008,2150.04,0.038,16068.72,0.284
05,117,Prairie,Arkansas,AR,34.9901,-91.3807,9113,14,1403.402,0.154,7727.824,0.848,1321.385,0.145,36.452,0.004,18.226,0.002,82.017,0.009,2351.154,0.258
05,119,Pulaski,Arkansas,AR,34.9005,-92.1302,366463,475,55335.913,0.151,229039.375,0.625,124597.42,0.34,1465.852,0.004,5863.408,0.016,11360.353,0.031,81721.249,0.223
05,121,Randolph,Arkansas,AR,36.4803,-90.759,22717,39,3566.569,0.157,17446.656,0.768,5020.457,0.221,68.151,0.003,90.868,0.004,295.321,0.013,5520.231,0.243
05,125,Saline,Arkansas,AR,34.7729,-92.3261,91188,126,8571.672,0.094,86446.224,0.948,2918.016,0.032,455.94,0.005,638.316,0.007,1823.76,0.02,22067.496,0.242
05,127,Scott,Arkansas,AR,35.0734,-93.7085,11150,12,2107.35,0.189,10637.1,0.954,55.75,0.005,133.8,0.012,223,0.02,780.5,0.07,2308.05,0.207
05,129,Searcy,Arkansas,AR,36.0637,-92.4421,7969,12,1737.242,0.218,7809.62,0.98,15.938,0.002,63.752,0.008,15.938,0.002,87.659,0.011,NA,NA
05,131,Sebastian,Arkansas,AR,35.3494,-94.0935,118750,221,18287.5,0.154,101887.5,0.858,7481.25,0.063,1900,0.016,4512.5,0.038,11400,0.096,31350,0.264
05,133,Sevier,Arkansas,AR,34.1686,-94.0191,16456,29,2929.168,0.178,15205.344,0.924,724.064,0.044,329.12,0.02,49.368,0.003,4360.84,0.265,4130.456,0.251
05,135,Sharp,Arkansas,AR,36.3188,-91.3603,17397,29,3462.003,0.199,16875.09,0.97,156.573,0.009,104.382,0.006,34.794,0.002,243.558,0.014,4123.089,0.237
05,123,St. Francis,Arkansas,AR,35.1329,-90.4707,27902,44,7031.304,0.252,13448.764,0.482,14090.51,0.505,83.706,0.003,195.314,0.007,1450.904,0.052,9040.248,0.324
05,137,Stone,Arkansas,AR,35.9576,-91.9179,11716,19,2155.744,0.184,11446.532,0.977,35.148,0.003,46.864,0.004,0,0,128.876,0.011,2530.656,0.216
05,139,Union,Arkansas,AR,33.3636,-92.1534,44186,43,7820.922,0.177,28853.458,0.653,14581.38,0.33,88.372,0.002,265.116,0.006,751.162,0.017,11930.22,0.27
05,141,Van Buren,Arkansas,AR,35.7498,-92.2659,16529,23,2809.93,0.17,16049.659,0.971,82.645,0.005,132.232,0.008,49.587,0.003,231.406,0.014,4892.584,0.296
05,143,Washington,Arkansas,AR,36.2069,-93.9349,17773,16,3003.637,0.169,11730.18,0.66,4692.072,0.264,1190.791,0.067,17.773,0.001,159.957,0.009,3305.778,0.186
05,145,White,Arkansas,AR,35.429,-91.4539,71332,69,11056.46,0.155,66909.416,0.938,2853.28,0.04,356.66,0.005,356.66,0.005,1854.632,0.026,17191.012,0.241
05,147,Woodruff,Arkansas,AR,35.3581,-91.051,8098,14,1862.54,0.23,5700.992,0.704,2324.126,0.287,16.196,0.002,16.196,0.002,72.882,0.009,NA,NA
05,149,Yell,Arkansas,AR,35.2263,-93.1335,21391,23,3336.996,0.156,20407.014,0.954,320.865,0.015,149.737,0.007,278.083,0.013,3657.861,0.171,5454.705,0.255
06,001,Alameda,California,CA,37.8898,-121.7608,1448905,1964,155032.835,0.107,824426.945,0.569,199948.89,0.138,10142.335,0.007,360777.345,0.249,294127.715,0.203,266598.52,0.184
06,003,Alpine,California,CA,38.8103,-119.8009,1159,2,151.829,0.131,928.359,0.801,8.113,0.007,215.574,0.186,4.636,0.004,98.515,0.085,NA,NA
06,005,Amador,California,CA,38.5454,-120.5354,38471,65,3539.332,0.092,35085.552,0.912,1577.311,0.041,615.536,0.016,577.065,0.015,3654.745,0.095,4308.752,0.112
06,007,Butte,California,CA,40.0871,-121.1666,214185,131,33841.23,0.158,191053.02,0.892,3426.96,0.016,4069.515,0.019,8995.77,0.042,24845.46,0.116,50761.845,0.237
06,009,Calaveras,California,CA,38.4043,-120.2706,46871,46,4546.487,0.097,43871.256,0.936,468.71,0.01,796.807,0.017,609.323,0.013,4030.906,0.086,4218.39,0.09
06,011,Colusa,California,CA,39.4029,-121.8988,21095,18,2742.35,0.13,19723.825,0.935,210.95,0.01,506.28,0.024,527.375,0.025,10357.645,0.491,NA,NA
06,013,Contra Costa,California,CA,38.0518,-121.6076,1017787,1414,76334.025,0.075,739931.149,0.727,97707.552,0.096,7124.509,0.007,137401.245,0.135,210681.909,0.207,219841.992,0.216
06,015,Del Norte,California,CA,41.925,-123.9733,28705,28,5339.13,0.186,23911.265,0.833,1320.43,0.046,1751.005,0.061,832.445,0.029,4277.045,0.149,NA,NA
06,017,El Dorado,California,CA,39.0344,-119.9828,176841,103,13263.075,0.075,163577.925,0.925,1591.569,0.009,1768.41,0.01,5658.912,0.032,18214.623,0.103,42441.84,0.24
06,019,Fresno,California,CA,37.253,-118.6704,877584,147,180782.304,0.206,714353.376,0.814,50022.288,0.057,16674.096,0.019,78982.56,0.09,407198.976,0.464,243090.768,0.277
06,021,Glenn,California,CA,39.791,-122.0125,27759,21,4219.368,0.152,25677.075,0.925,249.831,0.009,610.698,0.022,832.77,0.03,8993.916,0.324,NA,NA
06,023,Humboldt,California,CA,41.3015,-123.5412,128376,36,20026.656,0.156,112329,0.875,1412.136,0.011,6932.304,0.054,2695.896,0.021,9499.824,0.074,30553.488,0.238
06,025,Imperial,California,CA,33.4279,-114.6378,155823,37,30852.954,0.198,141175.638,0.906,6544.566,0.042,2960.637,0.019,4051.398,0.026,117023.073,0.751,NA,NA
06,027,Inyo,California,CA,37.4067,-116.2074,18156,2,1924.536,0.106,15650.472,0.862,72.624,0.004,1815.6,0.1,254.184,0.014,2886.804,0.159,NA,NA
06,029,Kern,California,CA,35.767,-117.6353,756825,93,137742.15,0.182,649355.85,0.858,46923.15,0.062,12866.025,0.017,31786.65,0.042,329975.7,0.436,200558.625,0.265
06,031,Kings,California,CA,36.4026,-119.5612,143420,103,26102.44,0.182,120903.06,0.843,12190.7,0.085,2868.4,0.02,5019.7,0.035,66833.72,0.466,36428.68,0.254
06,033,Lake,California,CA,39.1653,-122.5505,65147,52,9641.756,0.148,59218.623,0.909,1433.234,0.022,2019.557,0.031,846.911,0.013,9446.315,0.145,NA,NA
06,035,Lassen,California,CA,41.1251,-120.1173,34751,8,5177.899,0.149,29295.093,0.843,3301.345,0.095,1077.281,0.031,486.514,0.014,5177.899,0.149,NA,NA
06,037,Los Angeles,California,CA,34.7961,-117.7153,9935475,2447,1758579.075,0.177,7362186.975,0.741,963741.075,0.097,109290.225,0.011,1331353.65,0.134,4610060.4,0.464,2116256.175,0.213
06,039,Madera,California,CA,37.4031,-119.5666,142788,67,26986.932,0.189,126510.168,0.886,6282.672,0.044,4426.428,0.031,3141.336,0.022,68395.452,0.479,NA,NA
06,041,Marin,California,CA,38.247,-122.4637,246960,475,18028.08,0.073,219053.52,0.887,7655.76,0.031,1481.76,0.006,13582.8,0.055,30623.04,0.124,24449.04,0.099
06,043,Mariposa,California,CA,37.8127,-119.6373,18069,12,2041.797,0.113,16677.687,0.923,198.759,0.011,560.139,0.031,198.759,0.011,1734.624,0.096,NA,NA
06,045,Mendocino,California,CA,39.9663,-123.1123,88161,25,12871.506,0.146,79609.383,0.903,705.288,0.008,4231.728,0.048,1498.737,0.017,16926.912,0.192,NA,NA
06,047,Merced,California,CA,37.5216,-120.254,241706,125,43990.492,0.182,206416.924,0.854,9909.946,0.041,3867.296,0.016,16436.008,0.068,122786.648,0.508,69369.622,0.287
